Date,Period,Year,Quarter,FY,District,CY_Sanction_No,CY_Sanction_Amt,CY_Disbursed_No,CY_Disbursed_Amt,OS_No,OS_Amt,NPA_No,NPA_Amt,NPA_Pct
2022-03-31,Mar 2022,2022,1,FY 2021-22,EAST GARO HILLS,50,159.71,56,124.85,210,403.32,108,182.71,45.3
2022-03-31,Mar 2022,2022,1,FY 2021-22,EAST JAINTIA HILLS,10,34.05,13,31.42,41,89.8,9,5.0,5.57
2022-03-31,Mar 2022,2022,1,FY 2021-22,EAST KHASI HILLS,105,408.5,124,376.1,1141,3076.48,470,1100.55,35.77
2022-03-31,Mar 2022,2022,1,FY 2021-22,NORTH GARO HILLS,58,142.83,81,96.59,211,402.2,75,115.97,28.83
2022-03-31,Mar 2022,2022,1,FY 2021-22,RI BHOI,42,112.12,44,79.61,316,548.54,146,205.14,37.4
2022-03-31,Mar 2022,2022,1,FY 2021-22,SOUTH GARO HILLS,26,87.09,32,70.47,176,352.25,97,145.68,41.36
2022-03-31,Mar 2022,2022,1,FY 2021-22,SOUTH WEST GARO HILLS,47,150.03,46,106.13,211,487.03,83,171.15,35.14
2022-03-31,Mar 2022,2022,1,FY 2021-22,SOUTH WEST KHASI HILLS,34,71.31,40,55.78,111,162.88,20,34.45,21.15
2022-03-31,Mar 2022,2022,1,FY 2021-22,WEST GARO HILLS,185,566.94,186,464.68,573,1502.33,178,386.75,25.74
2022-03-31,Mar 2022,2022,1,FY 2021-22,WEST JAINTIA HILLS,60,155.71,60,130.95,187,373.77,69,113.54,30.38
2022-03-31,Mar 2022,2022,1,FY 2021-22,WEST KHASI HILLS,25,70.18,25,43.57,263,433.91,146,198.74,45.8
2022-06-30,Jun 2022,2022,2,FY 2022-23,EAST GARO HILLS,1,5.64,4,6.47,211,410.3,112,182.44,44.47
2022-06-30,Jun 2022,2022,2,FY 2022-23,EAST JAINTIA HILLS,2,11.4,2,8.73,41,94.29,12,12.03,12.76
2022-06-30,Jun 2022,2022,2,FY 2022-23,EAST KHASI HILLS,38,173.5,50,152.09,1083,3102.43,471,1161.92,37.45
2022-06-30,Jun 2022,2022,2,FY 2022-23,EASTERN WEST KHASI HILLS,2,3.2,4,2.39,70,95.25,30,40.57,42.59
2022-06-30,Jun 2022,2022,2,FY 2022-23,NORTH GARO HILLS,1,2.86,3,2.65,213,405.04,75,115.36,28.48
2022-06-30,Jun 2022,2022,2,FY 2022-23,RI BHOI,15,50.14,15,28.47,311,546.87,148,217.43,39.76
2022-06-30,Jun 2022,2022,2,FY 2022-23,SOUTH GARO HILLS,3,12.28,2,9.72,175,351.15,102,172.15,49.02
2022-06-30,Jun 2022,2022,2,FY 2022-23,SOUTH WEST GARO HILLS,5,11.86,1,0.82,213,488.93,87,197.15,40.32
2022-06-30,Jun 2022,2022,2,FY 2022-23,SOUTH WEST KHASI HILLS,6,6.1,11,3.71,115,162.38,21,35.62,21.94
2022-06-30,Jun 2022,2022,2,FY 2022-23,WEST GARO HILLS,6,14.74,13,21.0,596,1535.47,184,430.99,28.07
2022-06-30,Jun 2022,2022,2,FY 2022-23,WEST JAINTIA HILLS,12,72.97,12,41.47,196,398.52,70,130.22,32.68
2022-06-30,Jun 2022,2022,2,FY 2022-23,WEST KHASI HILLS,2,4.66,2,2.53,191,317.7,115,153.25,48.24
2022-09-30,Sep 2022,2022,3,FY 2022-23,EAST GARO HILLS,4,17.01,6,2.33,193,346.54,111,176.38,50.9
2022-09-30,Sep 2022,2022,3,FY 2022-23,EAST JAINTIA HILLS,7,25.22,6,17.0,51,131.62,14,19.48,14.8
2022-09-30,Sep 2022,2022,3,FY 2022-23,EAST KHASI HILLS,85,483.07,106,332.4,1062,3046.33,470,1201.39,39.44
2022-09-30,Sep 2022,2022,3,FY 2022-23,EASTERN WEST KHASI HILLS,16,50.68,16,29.45,80,120.01,27,36.81,30.67
2022-09-30,Sep 2022,2022,3,FY 2022-23,NORTH GARO HILLS,7,21.77,9,12.79,202,398.7,77,127.38,31.95
2022-09-30,Sep 2022,2022,3,FY 2022-23,RI BHOI,29,116.55,26,84.21,308,604.57,134,205.91,34.06
2022-09-30,Sep 2022,2022,3,FY 2022-23,SOUTH GARO HILLS,11,32.74,6,2.86,182,393.72,111,181.11,46.0
2022-09-30,Sep 2022,2022,3,FY 2022-23,SOUTH WEST GARO HILLS,14,42.99,9,10.61,208,488.88,95,207.0,42.34
2022-09-30,Sep 2022,2022,3,FY 2022-23,SOUTH WEST KHASI HILLS,13,59.59,18,28.2,122,181.82,23,35.97,19.78
2022-09-30,Sep 2022,2022,3,FY 2022-23,WEST GARO HILLS,53,318.27,41,123.58,614,1607.02,196,454.9,28.31
2022-09-30,Sep 2022,2022,3,FY 2022-23,WEST JAINTIA HILLS,31,212.89,27,118.29,215,491.87,74,129.06,26.24
2022-09-30,Sep 2022,2022,3,FY 2022-23,WEST KHASI HILLS,14,75.06,11,40.55,200,361.67,116,159.02,43.97
2022-12-31,Dec 2022,2022,4,FY 2022-23,EAST GARO HILLS,46,117.46,33,31.79,186,359.32,115,221.39,61.61
2022-12-31,Dec 2022,2022,4,FY 2022-23,EAST JAINTIA HILLS,17,72.59,14,37.85,54,148.87,12,11.58,7.78
2022-12-31,Dec 2022,2022,4,FY 2022-23,EAST KHASI HILLS,196,1229.46,187,704.14,1118,3411.4,487,1304.68,38.24
2022-12-31,Dec 2022,2022,4,FY 2022-23,EASTERN WEST KHASI HILLS,23,90.47,22,54.57,84,146.64,26,37.96,25.89
2022-12-31,Dec 2022,2022,4,FY 2022-23,NORTH GARO HILLS,25,66.14,12,26.26,208,398.09,80,122.07,30.66
2022-12-31,Dec 2022,2022,4,FY 2022-23,RI BHOI,69,264.17,56,146.22,320,662.0,131,252.08,38.08
2022-12-31,Dec 2022,2022,4,FY 2022-23,SOUTH GARO HILLS,20,61.24,7,3.84,191,409.41,116,271.42,66.3
2022-12-31,Dec 2022,2022,4,FY 2022-23,SOUTH WEST GARO HILLS,34,100.1,17,25.65,225,513.07,103,347.11,67.65
2022-12-31,Dec 2022,2022,4,FY 2022-23,SOUTH WEST KHASI HILLS,33,183.79,33,93.71,131,233.66,25,80.86,34.61
2022-12-31,Dec 2022,2022,4,FY 2022-23,WEST GARO HILLS,119,636.95,79,237.68,654,1827.99,240,734.71,40.19
2022-12-31,Dec 2022,2022,4,FY 2022-23,WEST JAINTIA HILLS,72,473.35,63,304.94,255,598.44,73,168.63,28.18
2022-12-31,Dec 2022,2022,4,FY 2022-23,WEST KHASI HILLS,28,133.6,23,66.34,202,372.31,113,191.92,51.55
2023-03-31,Mar 2023,2023,1,FY 2022-23,EAST GARO HILLS,55,166.92,53,80.3,212,405.2,114,194.39,47.97
2023-03-31,Mar 2023,2023,1,FY 2022-23,EAST JAINTIA HILLS,30,174.68,27,102.82,68,206.02,11,9.4,4.56
2023-03-31,Mar 2023,2023,1,FY 2022-23,EAST KHASI HILLS,313,2385.92,302,1336.1,1544,4837.07,534,1260.25,26.05
2023-03-31,Mar 2023,2023,1,FY 2022-23,EASTERN WEST KHASI HILLS,35,169.05,33,85.6,92,189.25,23,28.06,14.83
2023-03-31,Mar 2023,2023,1,FY 2022-23,NORTH GARO HILLS,36,142.77,38,86.67,226,465.14,81,129.57,27.86
2023-03-31,Mar 2023,2023,1,FY 2022-23,RI BHOI,123,597.12,111,310.53,362,811.07,118,196.76,24.26
2023-03-31,Mar 2023,2023,1,FY 2022-23,SOUTH GARO HILLS,32,157.73,31,79.74,205,452.59,119,203.58,44.98
2023-03-31,Mar 2023,2023,1,FY 2022-23,SOUTH WEST GARO HILLS,47,177.13,50,104.0,243,546.06,98,221.8,40.62
2023-03-31,Mar 2023,2023,1,FY 2022-23,SOUTH WEST KHASI HILLS,44,280.08,50,141.61,136,288.81,19,31.13,10.78
2023-03-31,Mar 2023,2023,1,FY 2022-23,WEST GARO HILLS,172,1004.4,147,514.22,713,2156.67,240,578.25,26.81
2023-03-31,Mar 2023,2023,1,FY 2022-23,WEST JAINTIA HILLS,96,701.41,100,489.18,264,759.67,68,144.44,19.01
2023-03-31,Mar 2023,2023,1,FY 2022-23,WEST KHASI HILLS,45,241.81,41,131.79,221,424.51,113,141.48,33.33
2023-09-30,Sep 2023,2023,3,FY 2023-24,EAST GARO HILLS,35,113.24,14,4.01,217,450.16,100,173.64,38.57
2023-09-30,Sep 2023,2023,3,FY 2023-24,EAST JAINTIA HILLS,8,63.43,7,23.95,71,247.39,12,11.06,4.47
2023-09-30,Sep 2023,2023,3,FY 2023-24,EAST KHASI HILLS,166,1167.43,130,626.67,1298,5139.25,524,1204.75,23.44
2023-09-30,Sep 2023,2023,3,FY 2023-24,EASTERN WEST KHASI HILLS,5,19.19,7,11.42,89,252.74,24,27.53,10.89
2023-09-30,Sep 2023,2023,3,FY 2023-24,NORTH GARO HILLS,10,65.91,14,18.22,224,490.06,100,164.32,33.53
2023-09-30,Sep 2023,2023,3,FY 2023-24,RI BHOI,56,231.52,72,150.16,399,1056.9,149,236.44,22.37
2023-09-30,Sep 2023,2023,3,FY 2023-24,SOUTH GARO HILLS,3,13.5,8,17.54,206,501.44,136,210.46,41.97
2023-09-30,Sep 2023,2023,3,FY 2023-24,SOUTH WEST GARO HILLS,10,27.04,11,21.19,242,597.16,107,218.16,36.53
2023-09-30,Sep 2023,2023,3,FY 2023-24,SOUTH WEST KHASI HILLS,11,60.32,21,27.85,137,335.98,25,39.75,11.83
2023-09-30,Sep 2023,2023,3,FY 2023-24,WEST GARO HILLS,95,508.45,48,179.3,769,2550.44,270,635.35,24.91
2023-09-30,Sep 2023,2023,3,FY 2023-24,WEST JAINTIA HILLS,83,469.3,109,417.66,352,1191.29,96,156.13,13.11
2023-09-30,Sep 2023,2023,3,FY 2023-24,WEST KHASI HILLS,13,65.82,21,39.5,221,470.47,125,140.91,29.95
2023-12-31,Dec 2023,2023,4,FY 2023-24,EAST GARO HILLS,61,234.07,35,124.58,225,536.12,109,187.34,34.94
2023-12-31,Dec 2023,2023,4,FY 2023-24,EAST JAINTIA HILLS,24,156.38,21,104.34,108,373.36,13,15.9,4.26
2023-12-31,Dec 2023,2023,4,FY 2023-24,EAST KHASI HILLS,303,2140.22,249,1316.27,1426,5897.88,531,1177.82,19.97
2023-12-31,Dec 2023,2023,4,FY 2023-24,EASTERN WEST KHASI HILLS,12,68.12,10,38.09,92,274.61,23,27.59,10.05
2023-12-31,Dec 2023,2023,4,FY 2023-24,NORTH GARO HILLS,65,276.21,38,116.99,228,542.94,98,159.07,29.3
2023-12-31,Dec 2023,2023,4,FY 2023-24,RI BHOI,131,598.81,129,376.27,461,1250.47,148,233.38,18.66
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH GARO HILLS,25,131.06,17,51.8,205,515.53,135,209.83,40.7
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH WEST GARO HILLS,56,272.99,39,145.74,254,662.97,115,236.4,35.66
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH WEST KHASI HILLS,28,116.39,27,57.88,137,353.76,29,42.06,11.89
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST GARO HILLS,249,1190.62,174,738.15,842,2916.32,283,695.64,23.85
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST JAINTIA HILLS,207,1019.86,230,987.32,512,1855.33,99,164.24,8.85
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST KHASI HILLS,38,185.27,29,58.61,243,538.53,140,168.81,31.35
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST GARO HILLS,44,145.33,57,135.18,224,612.58,109,200.94,32.8
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST JAINTIA HILLS,29,199.84,35,180.85,125,536.67,11,13.35,2.49
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST KHASI HILLS,152,873.88,161,834.89,1552,7088.25,520,1203.36,16.98
2024-06-30,Jun 2024,2024,2,FY 2024-25,EASTERN WEST KHASI HILLS,7,73.44,7,40.26,107,366.41,24,30.14,8.23
2024-06-30,Jun 2024,2024,2,FY 2024-25,NORTH GARO HILLS,6,33.88,42,109.16,237,638.42,105,153.48,24.04
2024-06-30,Jun 2024,2024,2,FY 2024-25,RI BHOI,59,195.23,79,182.14,521,1547.99,156,238.0,15.37
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH GARO HILLS,18,148.05,36,120.78,216,613.39,127,194.47,31.7
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH WEST GARO HILLS,7,36.76,31,87.2,264,703.11,118,234.34,33.33
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH WEST KHASI HILLS,6,18.92,14,30.21,141,399.11,25,40.23,10.08
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST GARO HILLS,125,618.99,133,631.98,851,3151.76,316,850.5,26.98
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST JAINTIA HILLS,75,355.16,116,460.81,640,2471.88,91,148.82,6.02
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST KHASI HILLS,11,66.98,23,47.11,231,568.2,122,163.96,28.86
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST GARO HILLS,64,244.82,92,234.82,224,646.29,102,174.2,26.95
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST JAINTIA HILLS,43,276.86,61,316.53,136,627.26,12,20.25,3.23
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST KHASI HILLS,306,2223.7,339,1826.52,1659,9929.84,540,1243.2,15.68
2024-09-30,Sep 2024,2024,3,FY 2024-25,EASTERN WEST KHASI HILLS,16,163.59,17,107.59,114,428.21,18,21.4,5.0
2024-09-30,Sep 2024,2024,3,FY 2024-25,NORTH GARO HILLS,24,93.45,73,181.77,223,604.16,93,141.1,23.35
2024-09-30,Sep 2024,2024,3,FY 2024-25,RI BHOI,96,362.28,161,365.77,543,1683.05,151,212.79,12.64
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH GARO HILLS,24,199.3,61,268.19,219,682.41,128,200.08,29.22
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH WEST GARO HILLS,15,87.79,49,181.3,261,719.43,122,263.56,36.63
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH WEST KHASI HILLS,12,36.3,23,39.66,143,412.11,26,34.7,8.42
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST GARO HILLS,205,1117.57,283,1360.07,884,3466.5,291,781.49,22.54
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST JAINTIA HILLS,134,672.47,235,904.52,689,2756.35,105,229.24,8.32
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST KHASI HILLS,16,116.71,37,80.73,232,592.53,130,188.28,31.78
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST GARO HILLS,75,245.36,95,273.9,207,604.68,107,171.27,28.32
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST JAINTIA HILLS,54,322.16,71,383.79,145,675.05,13,23.7,3.51
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST KHASI HILLS,396,2724.06,454,2578.38,1741,8536.91,561,1407.5,16.49
2024-12-31,Dec 2024,2024,4,FY 2024-25,EASTERN WEST KHASI HILLS,19,191.57,20,134.97,115,449.83,21,30.11,6.69
2024-12-31,Dec 2024,2024,4,FY 2024-25,NORTH GARO HILLS,31,99.91,113,318.87,251,714.48,101,165.68,23.19
2024-12-31,Dec 2024,2024,4,FY 2024-25,RI BHOI,149,518.24,212,565.68,573,1826.21,165,230.43,12.62
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH GARO HILLS,27,199.21,72,346.27,225,748.58,129,200.8,26.82
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH WEST GARO HILLS,19,97.27,89,326.24,264,766.71,145,313.64,40.91
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH WEST KHASI HILLS,20,69.29,35,70.0,146,410.99,27,36.47,8.87
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST GARO HILLS,235,1274.9,400,2037.19,942,3877.79,301,813.68,20.98
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST JAINTIA HILLS,178,810.0,279,1070.57,723,2778.24,105,225.95,8.13
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST KHASI HILLS,25,158.75,39,111.62,235,622.9,127,176.04,28.26
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST GARO HILLS,17,34.13,3,0.82,195,619.21,103,167.9,27.12
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST JAINTIA HILLS,4,17.26,5,19.57,146,716.9,11,26.37,3.68
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST KHASI HILLS,57,383.82,59,236.61,1807,9261.42,539,1520.09,16.41
2025-06-30,Jun 2025,2025,2,FY 2025-26,EASTERN WEST KHASI HILLS,6,49.67,6,21.98,134,561.35,22,25.33,4.51
2025-06-30,Jun 2025,2025,2,FY 2025-26,NORTH GARO HILLS,5,38.63,5,15.49,251,796.09,103,172.25,21.64
2025-06-30,Jun 2025,2025,2,FY 2025-26,RI BHOI,42,155.76,40,70.64,600,2081.02,146,221.45,10.64
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH GARO HILLS,1,1.87,2,1.79,225,790.16,129,196.57,24.88
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH WEST GARO HILLS,4,18.69,4,16.11,254,767.39,145,302.94,39.48
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH WEST KHASI HILLS,4,48.88,6,32.52,158,489.2,37,49.07,10.03
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST GARO HILLS,54,189.42,16,67.68,938,4034.15,298,844.11,20.92
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST JAINTIA HILLS,14,47.29,19,45.4,784,2997.07,123,297.88,9.94
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST KHASI HILLS,10,43.57,8,18.17,229,669.64,106,155.14,23.17
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST GARO HILLS,64,244.82,92,234.82,224,646.29,102,174.2,26.95
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST JAINTIA HILLS,43,276.86,61,316.53,136,627.26,12,20.25,3.23
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST KHASI HILLS,306,2223.7,339,1826.52,1659,7929.84,540,1243.2,15.68
2025-09-30,Sep 2025,2025,3,FY 2025-26,EASTERN WEST KHASI HILLS,16,163.59,17,107.59,114,428.21,18,21.4,5.0
2025-09-30,Sep 2025,2025,3,FY 2025-26,NORTH GARO HILLS,24,93.45,73,181.77,223,604.16,93,141.1,23.35
2025-09-30,Sep 2025,2025,3,FY 2025-26,RI BHOI,96,362.28,161,365.77,543,1683.05,151,212.79,12.64
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH GARO HILLS,24,199.3,61,268.19,219,682.41,128,200.08,29.32
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH WEST GARO HILLS,15,87.79,49,181.3,261,719.43,122,263.56,36.63
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH WEST KHASI HILLS,12,36.3,23,39.66,143,412.11,26,34.7,8.42
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST GARO HILLS,205,1117.57,283,1360.07,884,3466.5,291,781.49,22.54
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST JAINTIA HILLS,134,672.47,235,904.52,689,2756.35,105,229.24,8.32
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST KHASI HILLS,16,116.71,37,80.73,232,592.53,130,188.28,31.78
