district,Lead Bank Name,DCC Meeting First Quarter,DCC Meet- ing Second Quarter,DCC Meet- ing Third Quarter,DCC Meeting Fourth Quarter,DLRC Meeting First Quarter,DLRC Meeting Second Quarter,DLRC Meeting Third Quarter,DLRC Meeting Fourth Quarter
East Garo Hills,SBI,30.09.2021,15.12.2021,11.03.2022,X,30.09.2021,15.12.2021,11.03.2022,X
East Jaintia Hills,SBI,16.09.2021,10.12.2021,04.03.2022,X,16.09.2021,10.12.2021,04.03.2022,X
East Khasi Hills,SBI,28.09.2021,25.02.2022,17.03.2022,X,28.09.2021,25.02.2022,17.03.2022,X
North Garo Hills,SBI,24.09.2021,22.02.2022,22.02.2022,X,24.09.2021,22.02.2022,22.02.2022,X
Ri Bhoi,SBI,23.08.2021,18.11.2021,17.02.2022,X,23.08.2021,18.11.2021,17.02.2022,X
South Garo Hills,SBI,20.10.2021,8.12.2021,09.03.2022,X,20.10.2021,8.12.2021,09.03.2022,X
South West Garo,SBI,06.10.2021,7.12.2021,10.03.2022,X,06.10.2021,7.12.2021,10.03.2022,X
South West Khasi Hills,SBI,26.10.2021,15.12.2021,03.03.2022,X,26.10.2021,15.12.2021,03.03.2022,X
West Garo Hills,SBI,21.10.2021,10.12.2021,16.03.2022,X,21.10.2021,10.12.2021,16.03.2022,X
West Jaintia Hills,SBI,07.09.2021,13.11.2021,03.03.2022,X,07.09.2021,13.11.2021,03.03.2022,X
West Khasi Hills,SBI,20.10.2021,10.12.2021,16.03.2022,X,20.10.2021,10.12.2021,13.03.2022,X
